haploblock_id	chrom	start	end	n_snps	n_clusters	hash_length	cluster_diff_score
chr1_1583825_1958353	chr1	1583825	1958353			20	
chr1_1958353_1993042	chr1	1958353	1993042			20	
chr1_1993042_2040432	chr1	1993042	2040432			20	
chr1_2040432_2101817	chr1	2040432	2101817			20	
chr1_2101817_2288174	chr1	2101817	2288174			20	
chr1_2288174_2323195	chr1	2288174	2323195			20	
chr1_2323195_2370170	chr1	2323195	2370170			20	
chr1_2370170_2393442	chr1	2370170	2393442			20	
chr1_2393442_2415085	chr1	2393442	2415085			20	
chr1_2415085_2436793	chr1	2415085	2436793			20	
chr1_2436793_2472868	chr1	2436793	2472868			20	
chr1_2472868_2536231	chr1	2472868	2536231			20	
chr1_2536231_2805011	chr1	2536231	2805011			20	
chr1_2805011_2836672	chr1	2805011	2836672			20	
chr1_2836672_2864428	chr1	2836672	2864428			20	
chr1_2864428_2888245	chr1	2864428	2888245			20	
chr1_2888245_2919344	chr1	2888245	2919344			20	
chr1_2919344_2980520	chr1	2919344	2980520			20	
chr1_2980520_3018282	chr1	2980520	3018282			20	
chr1_3018282_3081749	chr1	3018282	3081749			20	
chr1_3081749_3095810	chr1	3081749	3095810			20	
chr1_3095810_3141097	chr1	3095810	3141097			20	
chr1_3141097_3145931	chr1	3141097	3145931			20	
chr1_3145931_3183071	chr1	3145931	3183071			20	
chr1_3183071_3200824	chr1	3183071	3200824			20	
chr1_3200824_3233411	chr1	3200824	3233411			20	
chr1_3233411_3294894	chr1	3233411	3294894			20	
chr1_3294894_3321237	chr1	3294894	3321237			20	
chr1_3321237_3356213	chr1	3321237	3356213			20	
chr1_3356213_3377658	chr1	3356213	3377658			20	
chr1_3377658_3403912	chr1	3377658	3403912			20	
chr1_3403912_3416119	chr1	3403912	3416119			20	
chr1_3416119_3435977	chr1	3416119	3435977			20	
chr1_3435977_3488732	chr1	3435977	3488732			20	
chr1_3488732_3542633	chr1	3488732	3542633			20	
chr1_3542633_3569559	chr1	3542633	3569559			20	
chr1_3569559_3597419	chr1	3569559	3597419			20	
chr1_3597419_3658462	chr1	3597419	3658462			20	
chr1_3658462_3666645	chr1	3658462	3666645			20	
chr1_3666645_3687362	chr1	3666645	3687362			20	
chr1_3687362_3716816	chr1	3687362	3716816			20	
chr1_3716816_3764165	chr1	3716816	3764165			20	
chr1_3764165_3816032	chr1	3764165	3816032			20	
chr1_3816032_3867334	chr1	3816032	3867334			20	
chr1_3867334_3881836	chr1	3867334	3881836			20	
chr1_3881836_3918389	chr1	3881836	3918389			20	
chr1_3918389_3942706	chr1	3918389	3942706			20	
chr1_3942706_3950282	chr1	3942706	3950282			20	
chr1_3950282_3995220	chr1	3950282	3995220			20	
chr1_3995220_4046591	chr1	3995220	4046591			20	
chr1_4046591_4093147	chr1	4046591	4093147			20	
chr1_4093147_4120746	chr1	4093147	4120746			20	
chr1_4120746_4174752	chr1	4120746	4174752			20	
chr1_4174752_4226801	chr1	4174752	4226801			20	
chr1_4226801_4236223	chr1	4226801	4236223			20	
chr1_4236223_4307920	chr1	4236223	4307920			20	
chr1_4307920_4320284	chr1	4307920	4320284			20	
chr1_4320284_4359937	chr1	4320284	4359937			20	
chr1_4359937_4454029	chr1	4359937	4454029			20	
chr1_4454029_4480984	chr1	4454029	4480984			20	
chr1_4480984_4509635	chr1	4480984	4509635			20	
chr1_4509635_4535091	chr1	4509635	4535091			20	
chr1_4535091_4580842	chr1	4535091	4580842			20	
chr1_4580842_4614369	chr1	4580842	4614369			20	
chr1_4614369_4652381	chr1	4614369	4652381			20	
chr1_4652381_4673288	chr1	4652381	4673288			20	
chr1_4673288_4691841	chr1	4673288	4691841			20	
chr1_4691841_4711993	chr1	4691841	4711993			20	
chr1_4711993_4736498	chr1	4711993	4736498			20	
chr1_4736498_4755417	chr1	4736498	4755417			20	
chr1_4755417_4793850	chr1	4755417	4793850			20	
chr1_4793850_4840415	chr1	4793850	4840415			20	
chr1_4840415_4881350	chr1	4840415	4881350			20	
chr1_4881350_4920299	chr1	4881350	4920299			20	
chr1_4920299_4942008	chr1	4920299	4942008			20	
chr1_4942008_4959493	chr1	4942008	4959493			20	
chr1_4959493_4978033	chr1	4959493	4978033			20	
chr1_4978033_5030937	chr1	4978033	5030937			20	
chr1_5030937_5076783	chr1	5030937	5076783			20	
chr1_5076783_5082492	chr1	5076783	5082492			20	
chr1_5082492_5162536	chr1	5082492	5162536			20	
chr1_5162536_5200350	chr1	5162536	5200350			20	
chr1_5200350_5251254	chr1	5200350	5251254			20	
chr1_5251254_5287567	chr1	5251254	5287567			20	
chr1_5287567_5297013	chr1	5287567	5297013			20	
chr1_5297013_5343525	chr1	5297013	5343525			20	
chr1_5343525_5411457	chr1	5343525	5411457			20	
chr1_5411457_5479850	chr1	5411457	5479850			20	
chr1_5479850_5514835	chr1	5479850	5514835			20	
chr1_5514835_5571302	chr1	5514835	5571302			20	
chr1_5571302_5599527	chr1	5571302	5599527			20	
chr1_5599527_5618723	chr1	5599527	5618723			20	
chr1_5618723_5629550	chr1	5618723	5629550			20	
chr1_5629550_5649168	chr1	5629550	5649168			20	
chr1_5649168_5684903	chr1	5649168	5684903			20	
chr1_5684903_5725512	chr1	5684903	5725512			20	
chr1_5725512_5745545	chr1	5725512	5745545			20	
chr1_5745545_5780200	chr1	5745545	5780200			20	
chr1_5780200_5841621	chr1	5780200	5841621			20	
chr1_5841621_5854228	chr1	5841621	5854228			20	
chr1_5854228_6003595	chr1	5854228	6003595			20	
chr1_6003595_6040795	chr1	6003595	6040795			20	
chr1_6040795_6084675	chr1	6040795	6084675			20	
chr1_6084675_6137354	chr1	6084675	6137354			20	
chr1_6137354_6159303	chr1	6137354	6159303			20	
chr1_6159303_6198732	chr1	6159303	6198732			20	
chr1_6198732_6268780	chr1	6198732	6268780			20	
chr1_6268780_6363444	chr1	6268780	6363444			20	
chr1_6363444_6441736	chr1	6363444	6441736			20	
chr1_6441736_6502103	chr1	6441736	6502103			20	
chr1_6502103_6580056	chr1	6502103	6580056			20	
chr1_6580056_6734025	chr1	6580056	6734025			20	
chr1_6734025_6916308	chr1	6734025	6916308			20	
chr1_6916308_6976742	chr1	6916308	6976742			20	
chr1_6976742_7046903	chr1	6976742	7046903			20	
chr1_7046903_7069445	chr1	7046903	7069445			20	
chr1_7069445_7109719	chr1	7069445	7109719			20	
chr1_7109719_7187141	chr1	7109719	7187141			20	
chr1_7187141_7264899	chr1	7187141	7264899			20	
chr1_7264899_7303439	chr1	7264899	7303439			20	
chr1_7303439_7351991	chr1	7303439	7351991			20	
chr1_7351991_7429435	chr1	7351991	7429435			20	
chr1_7429435_7449624	chr1	7429435	7449624			20	
chr1_7449624_7477070	chr1	7449624	7477070			20	
chr1_7477070_7508211	chr1	7477070	7508211			20	
chr1_7508211_7547445	chr1	7508211	7547445			20	
chr1_7547445_7556533	chr1	7547445	7556533			20	
chr1_7556533_7584742	chr1	7556533	7584742			20	
chr1_7584742_7650389	chr1	7584742	7650389			20	
chr1_7650389_7661288	chr1	7650389	7661288			20	
chr1_7661288_7677591	chr1	7661288	7677591			20	
chr1_7677591_7739126	chr1	7677591	7739126			20	
chr1_7739126_7850331	chr1	7739126	7850331			20	
chr1_7850331_7909447	chr1	7850331	7909447			20	
chr1_7909447_8126081	chr1	7909447	8126081			20	
chr1_8126081_8139203	chr1	8126081	8139203			20	
chr1_8139203_8213791	chr1	8139203	8213791			20	
chr1_8213791_8230022	chr1	8213791	8230022			20	
chr1_8230022_8290697	chr1	8230022	8290697			20	
chr1_8290697_8447516	chr1	8290697	8447516			20	
chr1_8447516_8828055	chr1	8447516	8828055			20	
chr1_8828055_8891970	chr1	8828055	8891970			20	
chr1_8891970_8925891	chr1	8891970	8925891			20	
chr1_8925891_8942850	chr1	8925891	8942850			20	
chr1_8942850_8985236	chr1	8942850	8985236			20	
chr1_8985236_9007994	chr1	8985236	9007994			20	
chr1_9007994_9019095	chr1	9007994	9019095			20	
chr1_9019095_9073966	chr1	9019095	9073966			20	
chr1_9073966_9145120	chr1	9073966	9145120			20	
chr1_9145120_9186290	chr1	9145120	9186290			20	
chr1_9186290_9222350	chr1	9186290	9222350			20	
chr1_9222350_9263398	chr1	9222350	9263398			20	
chr1_9263398_9279146	chr1	9263398	9279146			20	
chr1_9279146_9306426	chr1	9279146	9306426			20	
chr1_9306426_9322745	chr1	9306426	9322745			20	
chr1_9322745_9352349	chr1	9322745	9352349			20	
chr1_9352349_9371164	chr1	9352349	9371164			20	
chr1_9371164_9411592	chr1	9371164	9411592			20	
chr1_9411592_9450869	chr1	9411592	9450869			20	
